,店舗名,口コミ
0,鯉とりまあしゃん春吉店,最近あまり行けていないなあと思い、年末の挨拶がてら訪問。そういえば、今年の冬は寒鮒のアライにありついていない。鮒といえば不味いという固定観念を覆された寒鮒のアライ。甘みがあり、まるでクエを食べるような感じだ。そこから毎年まあしゃんの寒鮒のアライが楽しみになった。最近は予約をしないと入れなくなりつつあるお店。従って、しっかり予約を入れる。お店に行くと、サプライズが待っていた。先月誕生月でしたよね。プレミアム会員さんなんで、まだお祝いできていなかったので、今日の料理代はサービスします。お酒代のみいただきます。おー！有難や！そうなると飲むしかないでしょ！というわけで、日本酒をたんまりいただきながら、寒鮒のアライを始め、コース料理をご馳走になりました。いや、最高の店ですな！^_^
0,鯉とりまあしゃん春吉店,店構えも料亭っぽいし、ほとんどが個室かと思います。料理も大変洗練されていて立派です！中でも、「美味しんぼ」でも話題になったスッポンの唐揚げは絶品です！スッポンはゼラチン質を楽しむものだと思っていましたが、唐揚げにすると肉のコクがものすごく濃厚で、ハトの胸肉とは言わないけど、ウズラのムネくらい？？これは一押しです！鯉のあらいは、臭みが少なく食べやすくなっています。個人的にはもう少し泥臭くてもいいのですが、とにかく上品で、美味しい。鯉の唐揚げは、お刺身とはちがって、肉の結構濃い風味が前面に出るので、思ったよりコクがあって、ピンク色をしていました。美味しいです！鯉の卵の煮付けも美味しかったです。魚の種類は忘れましたが、幼魚の佃煮はお醤油のいい味がしみていて、美味しくいただきました。加賀料理のゴリみたいな感じで、それより薄口の、おかずらしい味付けでした？スッポンの雑炊も上品なダシで美味しくいただきました。何だったか忘れましたが、幼魚の佃煮も、お醤油もお魚自体もとてもいい味でした。加賀料理のゴリと似ていますが、より軟らかめで風味豊かなものでした。なかなかお目にかからない、アユの内臓の塩辛、ウルカもあって、塩気を抑えた(それでもからい？)自家製です。日本酒の種類はそれほど多くはありませんが、福岡の銘柄を中心にいいものがあります。八女の寒北斗、福岡の繁枡、溪(たに)をいただきました。どれも良質です。
0,鯉とりまあしゃん春吉店,中洲の夜二日目、昨日の酒がやっと抜けたけどまだイマイチな体調。今日は昼から取引先の商社マンと同行、この人、食べる事に熱心過ぎで地元福岡に居る日も毎日外食みたいです。この人のナビで福岡で食べると外さないんで今日の夕食は期待大。おまけに、商社は良いな～接待費の枠も大きくて、今回もゴチで。ホテルの都合で急遽春吉周辺のお店に変更して頂きました。生肉、エイジング肉、って相談有って、川魚専門店の有名店が春吉に支店だした、どうですか？落ち鮎のシーズンも終わりだしそれに決定。鯉とりまあしゃん、伝説の人だそうで、ググるとなるほど、なぜか孫正義の名前まで。興味有ったらググってみて下さい。川魚は嫌いじゃ無いけど鯉・鮒は良い思い出無いし鮎も背ごしは苦手、英彦山で鯉、日田で鮎の背ごし、どっちも九州の思い出で印象良く無くて。とりあえず5000円のコースに。後は単品での予定でしたがコース内で十分満腹、鯉こく忘れたのが心残り。お店は新しく結構高級感も有って良い感じ。中居さんも愛想良くて接客上手。料理は全体に美味しい。特に鯉、鯉は洗いで酢味噌が多かったけどポン酢に洗い、美味い。ビックリは鯉の刺身、刺身は始めて、美味い、洗いより美味い、食感はカンパチみたいで臭みも無く美味い。サービスで付けて頂いた鯉皮も美味い。下処理と料理のやり方でこんなに変わるんだと実感。白焼きはパリッと焼けて、抹茶塩で食べると美味い。山葵いらない。蒲焼きは九州らしく結構甘目のタレ、甘目のタレ好きなんで美味い。でもチョット甘すぎる。帰り際に店主もお見送りに出てくれて、これからは寒鮒のシーズンで是非どうぞ、この店なら苦手の鮒も克服できるかも。
0,鯉とりまあしゃん春吉店,クーポン使用で初めて来店。特上鰻のせいろ蒸し＋茶碗蒸し＋鯉こく＋香の物のセット。鰻のせいろ蒸しが、こんなに美味しいとは！せいろ蒸しは味が薄い感じの店が多い中、ここは鰻丼のように味がしっかりしていて驚いた。鰻の臭みも無くフワフワな鰻は本当に美味。鯉こくは苦手な私だが、飲んでみて美味しいかも！と、恐る恐る鯉を摘む…。(O_O)美味い！美味いんです。あんなに、苦手だった鯉が美味しいんです。そしたらっと追加オーダーで鯉のあらいを注文。今日は特別、鯉のトロも入れてますよ(^_^)と言われ臭みが無いので、うちはお醤油でお出ししてます。もしもダメなら酢味噌をお持ちしますから。とお店の方。食べてみると、やはり臭くない美味い。凄いぞ！鯉とりまぁしゃん(￣◇￣;)一緒に行った娘は、なんと鰻の骨を2度も注文（笑）注文受けてから揚げてくれるから熱々で美味いんです。リピートもしかたなかったかなw
0,鯉とりまあしゃん春吉店,●訪問回数1回以前から田主丸のお店は知ってたのですがなかなか行けずにいつか行こうと思っていましたら、今年になって春吉店ができたようで、行って来ました。当日に電話して、鯉も鰻も鮎も入っている3500円のコースにしました。さらに蒲焼がつく5000円のコース前日予約で鯉づくし、鰻づくし、鮎づくしなどがあります。つき出しは、鯉の卵の炊いたもの食感がこりっこりと面白いです。続いて鯉の皮の酢もの酢の塩梅は少し甘めでしたスッポンの煮こごり、鮎の煮たもの、鰻巻が出てきました。少し甘めの味付けですがどれも美味しいです鯉の刺身と洗いこれはかなりおすすめです。臭みもなく脂ものって美味。酢醤油で食べさせるのも良かったです。深井戸からの水で泥を吐かせているのだとか鮎の塩焼き鮎の質は普通ですが焼き加減は上手です。化粧塩も見事鰻の白焼き脂はさほど感じずさっぱりといただけます。鯉と鮎と野菜の天ぷら天ぷらはクリスピータイプかき揚げが面白かった茶碗蒸し普通の茶碗蒸しですがきちんと美味しいですミニせいろ蒸しと鯉こく鯉こくは鯉の臭みもなく、味噌も自家製らしくあっさりと食べさせます。鰻は脂がしつこくなくて、ご飯も潰れてなくて味付けも濃すぎず美味しかったです。鰻は宮崎や鹿児島の良質な養殖ものを使っているのだとか。
0,鯉とりまあしゃん春吉店,福岡県田主丸に存在する、鯉捕り名人まーしゃん。お口で鯉を捕ることもできます。地元「田主丸」では、昭和30年創業・川魚料理専門の老舗です。このお店が、福岡市の中洲に2号店をオープンしました。お店は新しいながら老舗らしい上品さ。テーブルは半個室です。席に座ると、本日のお勧めは「鯉のカルパッチョ」とのことなので、それとビール。こちらの鯉は、綺麗な天然水で泳がせるので、泥臭さが無いと評判です。噂通り、淡泊な旨味があります。特上鰻のせいろ蒸し。鰻は国産。表面のこんがりと中のふっくら感が堪らない極上の鰻。タレは鰻の骨を入れて煮詰めることによりしっかりとしたもの。ふっくらとしたご飯に染み込んでます。金糸卵が色合わせが食欲をそそります。鯉こくの味噌は、お店のオリジナル。福岡にしては濃いめでよく合って美味しいです。茶碗蒸しは普通。最後お会計の時、厨房から板前が、水槽から鮎を一生懸命捕まえてます。今からせごしになるそう。「写真を撮ってもいいですか？」と聞くと快く引き受けてくれたのですが・・鮎が手からツルンと飛び跳ねて逃げだしました（スイマセンｍ(__)ｍ）。レジ係りの女性も、鯉が奥に居ますが撮りますか？とお声かけくださったので・・お言葉に甘えて・・。今まで2匹いたそうですが・・直前で調理されたそう・・。直前まで泳いでいたのを使うなんて、本当に新鮮な鯉を使っていることが分かりました。天神でも珍しい、川魚特有の臭みもないので、苦手な方にもおすすめできるお店です。
0,鯉とりまあしゃん春吉店,鯉とりまあしゃん春吉店（鯉の白子竜田揚げ他）住所福岡市中央区春吉3-25-11電話092-752-2451刺身4種舟盛り（鯉のあらい、鯉の刺身、寒鮒のあらい、鱒の刺身）1500円鯉の白子竜田揚げ400円鮎の塩焼き（養殖）750円川エビの煮付け400円川魚の天婦羅600円鯉を食べるのは初めての体験。なかなか鯉や鮒を食べようと思っても食べるお店を知らなくて、そんな時に見つけたのがこちらのお店。美味しい川魚料理が食べれるし、場所的にも行きやすい場所だしってことで。まずは「生ビール」で乾杯。突き出しは「鯉の卵煮」。これ単品で注文しようと思ってたんですよね～甘みとしっとり感があって、ビールがススム味わい。続いて「川エビの煮付け」。エビの香ばしさと甘辛い味わいが凝縮された一品。お店の方も言ってたんですけど、これだけでビールが何杯もいけちゃいます。「刺身4種舟盛り」。上段左から「鯉のあらい、鱒の刺身、寒鮒のあらい、鯉の刺身」の4種。鯉や鮒ってイメージ的には泥臭いとか土臭いとそういうイメージがあったんですけど、そういう臭みは一切なし。こちらのお店は醤油で食べるんですけど、淡白な味わいで鯛とかを食べてる感じかな。「鯉の白子竜田揚げ」。外はカリッと中はふんわり。だけど、ふぐとかの白子に比べるとちょっと硬めの歯ごたえ。ここらで焼酎にチェンジ。続いて「鮎の塩焼き」。やっぱりこれは外せない一品。ここらで日本酒にチェンジ。日本酒をあんまり飲むと記憶が無くなるから、飲み比べセットをシェア。上段左から「八海山（純米吟醸）、繁桝（大吟醸50）、獺祭（純米大吟醸50）」1100円。下段左から「能古見（特別純）、渓（純米吟醸）、春鹿（純米超辛口）」800円。目をつぶって飲んでどれがどれかあてようと思ったんですけど、惨敗。味を当てるって難しい。ラストは「川魚の天婦羅」。鯉が食べてみたいってことで今回こちらのお店に食べに来たんですけど、鯉に限らずどれを食べても美味しいですね。川魚や特に鯉料理に対して抵抗があるっていう人は、イメージが変わるかも。今回はすべて単品でたのんだんですけど、コース料理や夜限定の懐石料理（要予約）もあったりと、落ち着ける店内でゆっくりと楽しめると思います。美味しかったです。ごちそうさまでした。
0,鯉とりまあしゃん春吉店,"昨年12月に春吉の裏路地にオープンした川魚料理専門店の『鯉とりまあしゃん』。田主丸の本店は昭和30年創業で、地元では超有名ってことだけど知らなかった・・・川魚料理専門店ってのがすごっ！昨夜はアラカルトで頼んだけど2,900円～の会席膳もあります。個室もあるんで接待にもいいかも！？でも、少人数ならぜひカウンターで大将の手さばきを見つつ、ウンチクに耳を傾けてほしいな♪～3代目の上村さん～～鯉のいけす～ここに入ってる水は田主丸から運んできていて、なんでも深さ約４０ｍからくみ上げた地下水とのこと。この水を使ってるのも臭みがない秘訣の一つすっぽんづくし会食が5,000円ってのもいいな！次回は、コレに決まり～ではでは素敵な料理たちのご紹介を・・・～鯉の卵の煮付～しょっぱなからハート・ズキュンやられちゃいましたこれ美味い！即日本酒飲みたくなる・・あと、ご飯にのっけても美味いかも！？（ジャンル違うけど、パスタにからめるのもありかな）～珍味三種盛り～氷魚の甘露炊きと、鮎のウルカ、鮒の卵の塩辛！特に天然の鮎の骨を丁寧に取り除いて、身と内臓からつくった数量限定の「鮎のウルカ（塩辛）」は絶品！！カッパカッパ日本酒が空きますよ♪～鯉のあらい＆寒鮒のあらい（冬季限定）～右の皮が付いてるのが寒鮒コリコリした食感で、川魚特有の泥臭さも一切なくて美味～で、酢味噌じゃなくて醤油で食べるってのがすごっ！（臭みがないっていう自信があるからかな！？）～鯉の刺身～これも醤油で・・美味、美味、美味～おススメ！鯉の旨み＆甘みが口の中に広がります～♪～鰻の焼き肝～これまた日本酒に合うわ～～鰻の白焼き～ぜひ、塩＆ワサビで・・天然じゃないけど、脂がのっててプリップリ～今までで食べた鰻の白焼きでナンバーワンかも！？～鯉こく～鯉こくに合う自家製味噌を使っているってこともあってか、これまた人生ナンバーワンの鯉こくや～ちょいリッチなもの食べたいお昼に「男気セット」or「特上うなぎせいろむし」を食べに行ってみよっと☆『鯉とりまあしゃん春吉店』住所：福岡市中央区春吉3丁目25-11℡：092-752-2451営業時間11:00～15:00(OS14:30)17:00～22:30(OS22:00)定休日：日曜日"
0,鯉とりまあしゃん春吉店,"春吉三丁目の路地沿いにあるか川魚料理の専門店。本店は田主丸で、気鋭の4代目店主が先月（2014.12）進出。配膳ペースなど課題もあるが、状態のいい川魚を堪能できる。～～～～～～～～～～～～～～～～～～～～～～～～～～～～春吉あたりをぶらぶらと歩いていると見慣れない看板が。川魚料理専門店ということで、ちょいと寄ってみることにしました。白木が基調のきれいな店内、右手に座敷席の並ぶ通路を奥へ進むとオープンキッチンのカウンター席が整っています。朗らかな店員さんが迎えてくれ、店内もなかなか活気がありますね。カウンターは7席、他にテーブル、座敷席が揃っている様子。生け簀というか水槽に鯉やら鮒やらが漂っています(￣ー￣*)一人でも気楽に入れますね。予約なしで頼める川魚膳が2900～3900円、単品も500円くらいから。色々種類がありそうな松膳（3,900円）と冷で純米酒をお願いしました。聞けば先月中ごろに開店したばかりで、まだ1ヶ月程度とか。ややオペレーションにたどたどしいトコはありますが今後に期待。・珍味三種盛り鮒の卵、うるか、稚魚鮎の甘露炊き。一風変わってて楽しいですね。酒肴として十分堪能できます。とくに鮎の内臓を使ったという”うるか”がお酒に最適でしょうか。・煮物珍味を軽く撮影して、いざ食べようとしたところで早くも次の皿。煮物、炊き物をいろいろと搭載した皿ですね。折角なんで一緒に再度撮影。甘露煮を除いては淡めの味付けで箸休めにしっくり。中盤まで活躍。・鯉の洗い看板商品の一角でしょうか。きれいに締まって色も鮮やかですね。小骨もきっちり抜かれていて、並の白身より美味しいのは流石。冬場はフナの洗いもできるそうなので、2月末までに再訪したいところ。・茶碗蒸しこれも洗いからさほど間をおかずに登場します。卓上がにぎやかに。かなり熱々の状態でやってきたんで、つかの間放置できるのは逆に安心。和出汁のほんのり薫る優しい味でゆるめに仕上がってますね。ここら辺りでお酒が枯渇。あまり存在感を主張しない酒を所望すると、未開封の4合瓶が登場。福岡・若竹屋の純米酒が登場します。状態のいいお酒で澄みわたってますね。スッと水のようにいけるタイプ。・鮎塩焼き火入れが素晴らしく、素直に美味しい一品でした。塩がふき溜まっているヒレ部分を外してバリバリと骨までかじれます。表面もきれいに仕上がってるんですけどね。これは上手です。(￣ー￣*)・鰻の白焼き御膳では蒲焼きが通常ですが、お酒を堪能してる様子を見てか白焼きにもできますけど～とのご案内をいただきます。表面がややパリッと仕上がった鰻、意外に身厚でこれも良かったですねぇ・ごはんセットサラダ、新香、ごはん、鯉こくという構成。鯉こくの味噌もあまりキツくなく、鯉の切身がうまく馴染んでますね。3,900円の膳とお酒2合で5,000円ちょいの明朗会計。思いのほか好みの品々だったので再訪当確。しゃけ小島からこっちに鞍替えするかな(￣ー￣*)フナ食べよう・・・"
0,鯉とりまあしゃん春吉店,春吉の川魚専門店「鯉とりまぁしゃん」に行ってきました。鯉料理なんて、泥臭いだろうし-----と思って数十年食べてませんでしたが、嫁が予約してたので。。。行って食べてビックリ！全く泥臭くなく美味しい(笑)理由は1ヶ月ほど清水の中で泥抜きをしているからだと。鯉のあらい鯉の刺身鯉こく鯉の白子鯉の皮鮎の塩焼き茶碗蒸し鰻のせいろ蒸しう巻き柚子シャーベットなどコース料理を堪能。九州だから、という料理ではありませんが、美味しかった(笑)
0,博多うなぎ屋藤う那,なんとなくうなぎが食べたい感じ。しかも福岡で。名古屋と福岡のうなぎの違いで自覚できるのはたれの甘さ。基本、西日本の人間なので甘い方が好き。一方、焼についての違いはあまり自覚できてません。まずはビールのアテにかぶとの南蛮漬けとヒレ焼きを。ヒレ焼はなかなかジューシーだったです。それほど安くはないので1本だけですが、うなぎーって感じの一品でした。さて、メインはうな丼。重より少し安いし、九州名物の蒸籠蒸しはたれが味わえないので。おいだれ（？）は刺身醤油をいれるような平皿で出てきます。うなぎをここにつけてご飯にのせるとたれをご飯にしみこませることができます。ここのうなぎは皮がぱりっとしているのが印象的。たれは名古屋より甘めで想像通りの好みのたれ。いい感じです。うなぎは3きれで足りないかと思いましたが、漬物をあるので、丁度良いかな。贅沢感を求めるならもう1枚ほしいかなという感じ。そうそう、漬物に奈良漬けなかった。福岡では奈良漬けはデフォルトではないのかな。おいしくいただきました。ごちそうさまでした。
